         1457927 function calls (1423228 primitive calls) in 1.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1513    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
        8    0.000    0.000    0.004    0.001 common.py:1(<module>)
      814    0.002    0.000    0.004    0.000 typing.py:175(_type_check)
     1420    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 _scorer.py:1(<module>)
     1203    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1917    0.002    0.000    0.004    0.000 _docscrape.py:475(_str_param_list)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _multivariate.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _root.py:1(<module>)
        3    0.000    0.000    0.004    0.001 _distribution_infrastructure.py:1368(_generate_example)
        1    0.000    0.000    0.004    0.004 arpack.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _qmc.py:1(<module>)
     1826    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        2    0.000    0.000    0.004    0.002 _bicluster.py:1(<module>)
     4909    0.002    0.000    0.004    0.000 _docscrape.py:86(is_unindented)
        2    0.000    0.000    0.004    0.002 _at.py:1(<module>)
        2    0.000    0.000    0.004    0.002 executor.py:1(<module>)
    30891    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 discriminant_analysis.py:1(<module>)
        1    0.000    0.000    0.004    0.004 generic.py:247(NDFrame)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _passive_aggressive.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.004    0.004 rules.py:1(<module>)
     2678    0.002    0.000    0.004    0.000 {built-in method builtins.max}
       28    0.001    0.000    0.004    0.000 typing.py:2780(__new__)
        2    0.000    0.000    0.004    0.002 _misc.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
       62    0.003    0.000    0.004    0.000 _array_api.py:757(xp_capabilities)
        1    0.000    0.000    0.004    0.004 testing.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _optimize.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cd.py:1(<module>)
        1    0.000    0.000    0.004    0.004 masked.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _memmapping_reducer.py:1(<module>)
     2916    0.002    0.000    0.003    0.000 typing.py:1188(__setattr__)
        1    0.000    0.000    0.003    0.003 _emissions.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _classification_threshold.py:1(<module>)
     5182    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.003    0.002 interval.py:1(<module>)
        1    0.000    0.000    0.003    0.003 distance.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _hypotests.py:1(<module>)
    26057    0.003    0.000    0.003    0.000 _docscrape.py:43(__getitem__)
     1212    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.003    0.001 ops.py:1(<module>)
      152    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        4    0.000    0.000    0.003    0.001 _helpers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _highs_wrapper.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _docscrape.py:1(<module>)
      152    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       13    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
